IDtopic	ObsID	Taxon	Country	Mention	Topic	IDportrayal	Portrayal	Sentiment
24181	19061	wolf	United States	This number illustrates a major recovery since wolves were classified as “threatened” in 1999. Then, there were only about 205 WOLVES in the state.	Threats	32181	Resilient	-0.402
24180	8068	deer	United States	Brewer said he didn’t know the law on it but figured that the guy who hit the deer probably had dibs on it.According to the Federal Highway Administration, drivers in the United States have collisions with 1 million to 2 million DEER  elk and other large animals each year.	Threats	32180	Nuisance	0.262
24179	16573	tiger	India	Will the presence of the tiger puncture the state’s stance against sending lions to Kuno?Gujarat now has the unique distinction of being home to both the Asiatic Lion as well as the Bengal TIGER after a camera-trap photographed a tiger in the Mahisagar district, in the north-eastern part of the state.	HWI	32179	Controversial	0.273
24175	2609	vulture	South Africa	Now, with new information at hand, targeted outreach and educational initiatives will be implemented by Wildlife ACT and partners to better understand the issue and help shed light on the critical importance of vultures in Zululand. These incidents have also led to further dialogue with authorities and will help support the prosecution of those found in the illegal procession of VULTURE body parts.	Conservation	32175	Victim	0.395
24172	9603	shark	United States	TRURO – SHARK sightings have closed two Cape Cod beaches today.	HWI	32172	Dangerous	0
24171	4135	saola	United Kingdom	It is also feared to allow hunters easier access to the previously untouched forest of the saola, making them even more vulnerable. With SAOLA being critically endangered, their small, dispersed population means that genetic inbreeding, loss of heterozygosity, skewed sex ratios and the difficult of male and females to find each other to mate means that the threat to the survival of the saola is growing.	Threats	32171	Vulnerable	-0.802
24170	16091	elephant	United States	The country's government called a national emergency after the October rains it was counting on never emerged, leaving land parched and farmers unable to harvest crops.Watering holes previously full of water remain nearly empty, with ELEPHANT and buffalo carcasses becoming commonplace as they get stuck in clay trying to reach the small pools of water left.	Climate Change	32170	Victim	-0.649
24169	19187	shark	Israel	She sustained chest injuries and was said to be in a serious but stable condition, after suffering a crush from being hit by a whale's tail, a spokesperson said.Other reports said the 29-year-old was struck by a whale SHARK  the world's largest fish which can reach a length of 15 meters.	HWI	32169	Dangerous	-0.696
24166	16531	wolf	United States	Oregon gray wolf OR-7 sires 5th consecutive litter of pupsPOLAND, Ore. (AP) — A wolf known as OR-7 that established the first gray WOLF pack in western Oregon in six decades has sired at least one pup for his fifth consecutive year, wildlife biologists said Wednesday.	HWI	32166	Resilient	0
24165	4124	saola	United Kingdom	Image Credit: Silviculture on WIkipedia What is a saola? The so-called  ASIAN UNICORN  fails to exist in captivity and is already critically endangered, having been only spotted on four occasions by scientists in the wild.	Wildlife info	32165	Vulnerable	-0.052
24164	8334	shark	United Kingdom	An Australian man has been hailed a hero after repeatedly punching a SHARK until it released his wife's leg.	Ecotourism	32164	Dangerous	0.67
24162	8395	wolf	United States	Last week, the U.S. Fish and Wildlife Service (FWS) officially proposed to remove the remaining ESA protections for gray WOLVES that reside in the lower 48 states, essentially declaring them recovered.	Conservation	32162	Resilient	-0.296
24161	10027	wolf	United States	The analysis also put Dogor's short life at a particularly interesting period of time, right around when many wolf lineages were going extinct and dogs are thought to have emerged. Exactly how and when they evolved from WOLVES is unclear; one recent study estimates between 20,000 to 40,000 years ago.	Wildlife info	32161	Interesting	0.248
24160	18925	wolf	United States	Three of the wolves have died, the most recent on Sept. 15. Another WOLF left the island for mainland Ontario on an ice bridge in January.	Threats	32160	Neutral	-0.557
24159	17562	pangolin	Japan	Since the start of the year, customs officers have seized a total of 7,711 kg of ivory products through 53 investigations. An additional 129 cases involved the smuggling of other endangered animal products, including PANGOLIN scales, shark fins and turtle shells.	Exploitation	32159	Victim	-0.477
24158	18667	wolf	United States	They support a more proactive preventive approach which is possible under state management rules. Hunters, in particular deer hunters, also stressed the need for a statewide comprehensive wildlife management plan that includes state management of the WOLF	Exploitation	32158	Nuisance	0.659
24157	5209	deer	United States	Whitetail harvest at Darby was 71, the highest since 2015, and the mule deer harvest of 35 is up from the past five years.The Bonner hunter check station leads in white-tailed DEER harvest with 318 checked so far, which is up from last year, but a bit below the five-year average.	Exploitation	32157	Neutral	0
24156	11827	vulture	United States	Dirlene Silva, a spokesperson from Semma, told Brazilian media that they found the whale because it caught the attention of scavenger birds.“The VULTURES were spotted circling above the carcass, which was found hidden in the bush some distance from the sea, Silva said, according to The Mirror.	HWI	32156	Interesting	-0.465
24155	4146	saola	United Kingdom	Vu Quang Nature Reserve’s management, where the saola was first discovered, has also improved over the last few years. A Population Viability Analysis conducted by the Saola Working Group in November 2015 indicate that 'even if all hunting threats could be achieved', we will be saying goodbye to the SAOLA in the next 10 to 15 years.	Conservation	32155	Vulnerable	0.077
24154	10561	vulture	Bangladesh	But who will remove the dead animals in the forests and jungles? he said, adding that this responsibility is carried out by VULTURES to keep the environment clean as well as to maintain biodiversity.	Wildlife info	32154	Important	-0.7
24153	673	saola	United States	“It’s looking for a needle in a haystack, and it’s a very, very rare needle,” Long said.Scientific Name: Pseudoryx nghetinhensisWhere They Live: Vietnam and Laos in Southeast AsiaSize: Up to 200 poundsHow Many Are Left: Probably fewer than 100Status: Critically endangeredFun fact: The name SAOLA in the Lao language means “spinning wheel posts.” The animal’s horns are similar in size and shape to posts on spinning wheels Laotians use.	Wildlife info	32153	Vulnerable	0
24152	9794	deer	United States	The point is that deer are naturally urinating exponentially more urine in the general area already versus a hunter using 1 or 2 oz of urine that lasts a few hours to attract deer closer to his hunting location. Even with DEER lure, you still have to be in a good spot where deer already exist.	Wildlife info	32152	Nuisance	0.66
24149	16249	vulture	Nigeria	Aminu-Kano said that during a visit to the abattoir, butchers were trained on how hostilities of setting traps and poisoning the birds (vultures), to harvest them, was depleting the population.The NCF boss in his IVAD report of activities held between Sept. 3 and Sept 4 in Sokoto, said that the project targeted conservation of the Egyptian VULTURES	Conservation	32149	Vulnerable	-0.905
24148	4143	saola	United Kingdom	The Saola Working Group strives to conserve the saola, using the rare creature as a flagship for the conservation of the Annamite Mountains’ diverse animals as a whole. WWF has also been involved in the protection of the critically endangered species, by 'strengthening and establishing protected areas' for the SAOLA	Conservation	32148	Vulnerable	0.758
24146	3398	shark	Australia	Stingray caught in swimming enclosure at Mosman’s Clifton GardensFirst it was a SHARK joining swimmers in a Sydney ocean pool earlier this year, and now a 200kg stingray has ended up in a popular swimming enclosure.	HWI	32146	Dangerous	0.421
24145	657	deer	United States	Osborne agrees that “the Arctic is greening”. But she adds that studies of animal populations actually suggest that, “warmer temperatures also increase the prevalence of viruses and disease, so we’re seeing a lot more caribou and rei DEER becoming more sickly as a result of this warming climate… it is just not an environment that is suited to thrive at these warmer temperatures.” Natali also says that many areas are experiencing “Tundra browning”: the higher temperatures lead surface water to evaporate into the atmosphere, causing plants to die off.	Health	32145	Vulnerable	0.542
24144	12454	shark	United States	Without the dinosaurs and many other species and predators, food chains were rearranged and some species that were once less abundant had the opportunity to thrive like never before.Researchers from Uppsala University in Sweden and the University of New England in Australia examined hundreds of fossilized shark teeth and found that SHARK diversity underwent a major change likely triggered by the mass extinction event that killed the dinosaurs.	Wildlife info	32144	Interesting	-0.052
24143	16689	elephant	Malaysia	Anyone found guilty of killing them face imprisonment of up to five years and a fine of RM250,000. ELEPHANT deathsTouching on the need to drastically step up efforts to conserve the endangered pygmy elephant, Liew said her ministry has recorded 145 deaths since 2010.	Exploitation	32143	Vulnerable	-0.751
24142	10109	deer	United States	But, I think this is something that is going to be impossible to ever prove. All I know is that two dogs, three if you want to count mine twice, that got into this carcass got extremely ill in a similar time period.”Biologist Michael A. Gregonis, with the Connecticut Department of Energy and Environmental Protection, Deer, Small Game and Wild Turkey Management Program, said there is no evidence of DEER carcasses causing any adverse reactions to dogs that come in contact with them.	Health	32142	Controversial	-0.796
24141	9089	vulture	United States	Neil said they have received a few reported sightings every week since they began tagging the black vultures last year.Anyone who spots a tagged black vulture in the area is asked to send an email to VULTURE taggmail.com with the location of the sighting, a tag number if visible and any behavioral information.	HWI	32141	Other Portrayal	-0.829
24140	816	elephant	South Africa	It says there’s no evidence that funds raised by Southern African states that were granted exemptions from the ban on a one-off basis translated into improved food security, education or well-being for people.The authors say ELEPHANT range countries like Botswana should focus their developmental efforts in other areas, such as reforming trade and agricultural policies, rather than trying to benefit local communities with the proceeds of ivory sales and hunting.	Exploitation	32140	Controversial	0.735
24139	11312	shark	Canada	Whoriskey’s “speculation” is the grey seals are forming social units that can fight off one of their deadliest enemies.Meanwhile, a non-profit group that’s made some great white SHARKS into household names in Nova Scotia has applied for a permit to conduct a return visit off Cape Breton from Sept. 13 to Oct. 4.	Ecotourism	32139	Other Portrayal	0.402
24137	18713	pangolin	Philippines	Off the menu and prepared on a preorder basis, these exotic dishes command exorbitant prices ranging from P30,000 to P40,000 per stew.The study also documents traditional Chinese medicine stores in Manila offering pills claiming to contain PANGOLIN derivatives.	Threats	32137	Vulnerable	0.226
24136	10490	elephant	United States	The government has been pumping out a lot of money for conservation with no real return, yet our government has competing social needs, said Tinashe Farawo, spokesman for Zimbabwe Parks and Wildlife Management Authority.We view our animals as an economic opportunity, so we should sell our ELEPHANTS	Threats	32136	Valuable	0.153
24135	13116	deer	Canada	Only white-tailed deer were observed using the restored lines less than the unrestored ones, the study found.The researchers monitored lines that had been restored three to six years before the study as part of an effort by members of the Canadian Oil Sands Innovation Alliance, or COSIA, to reclaim 570 square kilometres of CARIBOU habitat along the Athabasca River about 70 kilometres southwest of Fort McMurray, Alta.	PAs	32135	Resilient	0.751
24133	991	elephant	India	BAREILLY: After cases of elephant endotheliotropic herpesvirus(EEHV) were detected in southern India, the Indian Veterinary Research Institute( IVRI) here has launched a study to check if the virus is present among pachyderms, both in the wild and in captivity, in northern India.The EEHV is a fatal haemorrhagic disease and is highly dangerous for ELEPHANT calves as they can die within 24 hours of getting infected.	Health	32133	Vulnerable	-0.926
24131	354	wolf	United States	“The probability of us observing a wolf ourselves is very low so, it’s helpful to have as many eyes in the field looking as possible,” she said. “Public reports are very important, because we can look back and see where there may be concentrations of reports and focus some efforts on those areas (when) looking in the future.” WOLVES began returning to Michigan’s Upper Peninsula through Canada and Wisconsin during the early 1990s, according to a DNR press release.	Conservation	32131	Neutral	0.417
24129	1871	saola	United States	The silver-backed chevrotain is one of a number of fascinating species that live in the diverse tropical forests of Southeast Asia, where some species have been discovered only in the last few decades. This includes the antelope-like SAOLA (the Asian unicorn), which was only discovered in 1992 and that no biologist has seen in the wild.	Wildlife info	32129	Interesting	0.382
24128	13720	pangolin	United States	Yet we fail to make the changes we know are necessary.Those include: Slashing carbon emissions to slow climate change; policing the poachers who are hacking the horns off of rhinos, stealing tails from giraffes and killing PANGOLINS for their scales; banning single-use plastics; and, more to the heart of it, protecting half the Earth’s surface.	Exploitation	32128	Victim	-0.929
24126	2146	wolf	United States	Once delivered, it provides immunity for at least three years, though Marino notes that immunity likely lasts longer.Team members on horseback distribute baits at night, an approach that minimizes stress on the WOLVES	Conservation	32126	Neutral	-0.421
24125	16265	pangolin	India	Pangolin rescued, 4 arrested in OdishaTopicsEnvironmentPress Trust of India |ALSO READOdisha: Six arrested in possession of pangolin scales in BaripadaPangolin scales seized; three heldPangolin scales seized, three persons arrestedPangolin scales worth Rs 40 lakh seized in Thane, 3 heldMalaysia finds hornbill 'ivory' in massive wildlife seizureThe forest department personnel have rescued a live PANGOLIN from Odisha's Mayurbhanj district and arrested four persons for their alleged involvement in smuggling the animal, an official said on Wednesday.	Exploitation	32125	Victim	-0.382
24121	10633	shark	United States	“In fact, half of all sharks are actually less than three feet long! You can even touch the smallest species of shark that is found off the coast of South Carolina when you visit the Aquarium during SHARK Week.”New to Shark Week this year is Shark Week Trivia, happening on Monday, July 29 from 7 – 8:30 pm for the 21-and-older crowd.	Zoo	32121	Interesting	0
24120	3978	wolf	United States	“We’re destroying the natural balance so that ranchers don’t have to keep an eye on their cows when they graze on public lands.”Jamie Rappaport Clark, president and CEO of Defenders of Wildlife, said it is “another egregious example of the Trump administration’s relentless assault on wildlife protections.”California decided to list wolves after an Oregon wolf named OR-7 made a historic pilgrimage through the northern part of the state in 2011. He was the first WOLF seen in California since 1924.	HWI	32120	Vulnerable	-0.66
24119	14239	shark	South Africa	The programme have not detected the sharks either.The SHARK cage diving eco-tourism operators, who would normally witness multiple individual sharks visiting their vessels, and up to 30 seal predations daily, have not had a single white shark sighting at Seal Island in 2019.	Ecotourism	32119	Exciting	0.077
24117	4136	saola	United Kingdom	It is also feared to allow hunters easier access to the previously untouched forest of the saola, making them even more vulnerable. With saola being critically endangered, their small, dispersed population means that genetic inbreeding, loss of heterozygosity, skewed sex ratios and the difficult of male and females to find each other to mate means that the threat to the survival of the SAOLA is growing.	Threats	32117	Vulnerable	-0.802
24116	14623	pangolin	Indonesia	The Centre for Wildlife Rehabilitation Conservation (CWRC) near Kaziranga National Park in Assam has also seen a sharp rise in rescues of smuggled pangolins, proving the existence of a trafficking network using the India-Burma-China route. Indian PANGOLINS are also smuggled to China via Nepal.	Exploitation	32116	Victim	-0.402
24115	998	elephant	India	The disease can be fatal for an adult elephant infected with EEHV only if the panchyderm is under stress. In most cases, a calf catches the virus from adults after coming in close contact with them.”Scientists said the disease can be treated with anti-viral drugs, depending on severity of stress in an ELEPHANT	Health	32115	Vulnerable	-0.906
24114	14090	wolf	United States	NewsTrump Administration moves to de-list gray wolfMarch 6, 2019 By Mark Dorenkamp Filed Under: Livestock, NewsPresident Trump has followed the previous twoAdministrations by taking steps to remove the gray WOLF from the EndangeredSpecies List.	Conservation	32114	Neutral	0
24110	2756	saola	Vietnam	Along with supporting the tracking of illegal trade of products with wild animal origins, and the enforcement of laws on wildlife animal protection in border areas, the project also helps improve management of environmental fee payment.Earlier, the German ministry gave Thua Thien-Hue province 2 million EUR (2.23 million USD) in financial aid to carry out the first phase of the Carbi project during 2011-2014 at SAOLA Nature Reserve and expanded area of Bach Ma National Park, which are rich in carbon reserves and home to various kinds of animals.	PAs	32110	Other Portrayal	0.813
24108	15187	shark	United States	To avoid an accident, be vigilant. Avoid swimming near dead animals, the smell of which can attract SHARKS from great distances.	Health	32108	Neutral	-0.542
24106	12963	pangolin	Bulgaria	It was unclear if the two shipments were related. PANGOLINS  also known as scaly anteaters, are the world's most heavily trafficked mammal, with more than a million taken from the wild in the past decade, according to the World Wide Fund for Nature.	Exploitation	32106	Vulnerable	-0.25
24104	19438	deer	United States	DeSantis said during an announcement in West Palm Beach of his new chief science officer that he pulled the acting director of the US Department of Interior aside to stress that a lot of money is being spent to restore the Everglades, yet the snakes are just wreaking havoc.A 2011 study that looked at small mammal populations in Everglades National Park found declines of between 87 and 99 percent for raccoon, opossums, white-tailed DEER and bobcats.	Wildlife info	32104	Vulnerable	-0.153
24102	4148	saola	United Kingdom	Lead Image Credit: Silviculture on WIkipediaWhat is being done? The Saola Working Group strives to conserve the SAOLA  using the rare creature as a flagship for the conservation of the Annamite Mountains’ diverse animals as a whole.	Ecotourism	32102	Important	0.459
24101	3633	vulture	India	Eventually, drugs like Diclofenac has also been banned following the vulture massacre.The forest officers are eagerly waiting for the day when the VULTURES will take wing from the center with pride.	Pollution	32101	Victim	-0.368
24097	2177	shark	Canada	While it will take a while to heal, he said he'll be back in the water when he's given the OK to do so.I know that it's a very low chance to get bit by a SHARK  but to be in the condition I am right now, that is also very lucky.	HWI	32097	Dangerous	0.731
24096	6485	pangolin	United States	Fish and Wildlife Service also has launched the Mentor-Progress on Pangolins fellowship program. Based in Yaoundé, Cameroon, it is training a team of early-career Central African and Asian conservation practitioners to champion the conservation of PANGOLINS in Central Africa.	Conservation	32096	Vulnerable	0.66
24095	9417	elephant	United States	When PETA reached out about Barnum's, we saw this as another great opportunity to continue to keep this brand modern and contemporary, said Jason Levine, Mondelez's chief marketing officer for North America, in a statement.Mondelez is based in Illinois, which passed a statewide ban on circuses with ELEPHANTS that went into effect in January.	Ecotourism	32095	Valuable	0.572
24094	19045	wolf	United States	That means the canines were found east of Highway 89, and north of Highway 191 and the Hoback River corridor. The opposite sides of both highways this time of year fall within Wyoming’s “predator zone,” where WOLVES can be killed without limit and by any means.	Exploitation	32094	Neutral	-0.67
24092	4724	pangolin	Indonesia	Documentary seeks to tip the scales against illegal PANGOLIN traffickingIf people knew about pangolins and how special they are, says documentary filmmaker Bruce Young, “they might begin to care enough to help save and conserve them, and put an…	Exploitation	32092	Vulnerable	0.802
24091	19173	pangolin	Malaysia	Meanwhile, Chan reiterated his commitment to the cause at the World Pangolin Day gala dinner at Hilton Kota Kinabalu on Saturday (Feb 16).We have to condemn the poaching of PANGOLINS with one, single, united voice.	Exploitation	32091	Vulnerable	0.421
24090	11601	pangolin	India	So far, though, limited surveillance has meant that there is no evidence whether these borders are being used for this purpose.Riaz Hussain, a wildlife zoologist and a member of the IUCN Special Survival Commission Pangolin Special Group, said, “Massive smuggling of PANGOLINS has been recorded from Kashmir and Punjab to China.	Exploitation	32090	Valuable	-0.265
24088	2740	vulture	India	The incident happened at Bam Rajabari village, where 20 vultures died of carcass-poisoning in April last year.“Most of the 37 VULTURES that died are Himalayan griffon.	Threats	32088	Victim	-0.911
24087	4144	saola	United Kingdom	They also focus on leading research, 'community-based forest management... and strengthening law enforcement'. Vu Quang Nature Reserve’s management, where the SAOLA was first discovered, has also improved over the last few years.	Conservation	32087	Neutral	0.743
24086	15068	wolf	United States	NESPELEM, Wash. — Two new wolf packs were recently confirmed within the Colville Indian Reservation, according to officials with Colville Confederated Tribes Fish and Wildlife.Collar data showed biologists that the alpha male from a WOLF pack known as the Strawberry Pack dispersed and formed a new home range.	Conservation	32086	Neutral	0
24084	12831	elephant	India	The authors estimate that the disappearance of African forest elephants would result in a loss of as much as 7% of the carbon stocks in Central African forests, which they valued at around US$43 billion, based on a conservative carbon stock price. In short, forest ELEPHANTS are our allies in the fight against climate change and their existence saves us tens of billions of dollars in climate responses.	Wildlife info	32084	Important	-0.25
24081	15875	deer	United States	“While the peak of the rut still is a few weeks off, deer already have increased their activity and are crossing roads,” said Bryan Burhans, executive director of the Pennsylvania Game Commission. “While motorists – at any time of year – are well advised to stay alert and be on the lookout for whitetails while driving, it’s especially important now and in the coming weeks.”Deer of forests travel more than those in suburbia and farmlandPenn State Deer-Forest Study shows DEER of the big woods in northern Pennsylvania have home ranges more than twice the size of homes ranges of deer in urban, suburban and agricultural areas of the state.	Wildlife info	32081	Nuisance	0.757
24080	16974	shark	India	- World News | Antony Sguazzin, Bloomberg | Saturday September 21, 2019Africa's tallest building is set to open next month as its developers seek to cash in on security fears and traffic jams by building a high-rise residential and retail complex in the heart of Johannesburg's financial district.- World News | Antony Sguazzin, Bloomberg | Thursday August 29, 2019Great white SHARKS  which support South Africa's shark-diving industry and have been responsible for a number of fatal attacks off Cape Town, haven't been seen in the region for 18 months.	HWI	32080	Dangerous	-0.361
24077	2648	wolf	United States	The Wyoming Legislature went over Game and Fish’s head more than a decade ago to mandate an expansive “predator zone” in 85 percent of the state, where wolves are classified as varmints that can be killed without limits or rules. Despite a propensity for preying on livestock and in turn being killed by hunters and managers in those places, a minimum of 44 WOLVES persisted there, generally residing along the periphery of the greater Yellowstone region.	Wildlife info	32077	Nuisance	-0.818
24075	12452	shark	United States	A single great white shark can lose thousands of teeth in its lifetime thanks to the several rows of teeth located within its jaws.Fossilized shark teeth are somewhat abundant, and it’s through these that researchers can gain a better understanding of how the end-Cretaceous mass extinction event impacted SHARK diversity.	Wildlife info	32075	Neutral	0.891
24074	5012	deer	United States	These hunts offer large tracts of land with an abundance of game and low hunting pressure. All DEER hunts allow you to take only mature bucks with at least one antler having four or more points, 1 inch or longer.	Exploitation	32074	Interesting	0.103
24073	12412	elephant	United Kingdom	Researchers also believe elephant tusk size is on the decline. ELEPHANTS are now considered to be evolving smaller tusks, due to so many of the large-tusked species being hunted and therefore removed from the gene pool.	Wildlife info	32073	Vulnerable	0
24072	8188	wolf	United States	Dogs differ from wolves in many ways, from having shorter snouts, smaller sizes and more expressive faces. And unlike WOLVES  dogs heavily rely on human eye contact, whether to know when someone's talking to them or when they can't solve a problem, like hopping a fence or getting out the door.	Wildlife info	32072	Neutral	0.488
24071	12785	shark	United States	— A man swimming off Cape Cod was attacked by a shark on Wednesday and was airlifted to a hospital. It was the first SHARK attack on a human at the popular summer tourist destination since 2012.	HWI	32071	Dangerous	-0.511
24070	6344	deer	United States	“We are getting reports from across the Upper Peninsula about deer and moose not wanting to leave the roadways or trails.”In portions of Marquette and Baraga counties where moose are concentrated –particularly along Trail Nos. 5 and 14 – snowmobilers are reminded to be on the lookout for MOOSE on the trails.	HWI	32070	Nuisance	0.038
24068	7691	elephant	United Arab Emirates	Musanada kicks off $41m Al Ain Zoo conservation projectsReptile Park, Elephant Safari, Gorilla Sanctuary, and Sand Cat Conservation Exhibit are being developedAbu Dhabi General Services Company (Musanada) has started construction work on four conservation and preservation projects, including Reptile Park, ELEPHANT Safari, Gorilla Sanctuary, and Sand Cat Conservation Exhibit, all worth $41.4m (AED152m), at Al Ain Zoo.	Zoo	32068	Exciting	0.226
24066	11974	saola	Indonesia	This means the tamaraw is now in the enviable position of having the best chance of long-term survival of the three wild cattle species deemed critically endangered, according to James Burton, chair of the IUCN Species Survival Commission Asian Wild Cattle Specialist Group.The two other species are the kouprey (Bos sauveli), native to the Southeast Asian mainland and considered possibly extinct, not having been seen in more than 30 years; and the SAOLA (Pseudoryx nghetinhensis), the most recently discovered large land mammal on Earth, found only in Vietnam and Laos, and among the most threatened.	Wildlife info	32066	Vulnerable	0.442
24065	2287	shark	United States	Avoid swimming near piers. Bait = SHARKS	Health	32065	Neutral	-0.296
24064	5089	wolf	United States	The wolves scare cattle, even affecting their eating and breeding cycles, he said.A study co-authored by Erik Olson, Northland College assistant professor of natural resources, suggests the changing status has led to inconsistent management, declining public support for WOLVES — and possibly more illegal killings.	Wildlife info	32064	Nuisance	-0.826
24062	18372	pangolin	Nigeria	The raid came nine days after authorities in the northern Vietnamese city of Haiphong seized 8.3 tonnes of pangolin scales shipped from Africa, the government said in the statement.Nguyen Van Thai, director of Save Vietnam’s Wildlife told Reuters last December that most of the PANGOLIN scales seized in Vietnam originate from Africa but are bound for China.	Exploitation	32062	Victim	0.273
24061	19208	wolf	United Kingdom	Related objectives were preventing wolves from injuring dogs and reassuring local populations. These objectives, argued the Agency, would help increase ‘social tolerance’ of WOLVES among the local human populations and, as a result, reduce illegal hunting.	Wildlife info	32061	Dangerous	0.402
24060	9419	saola	United States	Based on their answers, Luiselli was able to capture several individuals “just where they said to look.”“We’ve seen that even the most endangered species can be quite abundant,” Fa said. “Vietnam is a country we know very little about, but we’ve been finding more surprises.”For example, the antelopelike saola, also called the  ASIAN UNICORN ” was photographed in Vietnam in 2013 for the first time since 1999.	Wildlife info	32060	Vulnerable	0
24059	18676	wolf	United States	For many years, both Minnesota and the federal government have agreed that wolf numbers far exceed the ESA recovery goals for delisting the wolves in Minnesota, Wisconsin and Michigan. Skepticism also was voiced about the ability of individual states to properly manage the WOLVES	Conservation	32059	Resilient	0.34
24056	4390	tiger	China	Wild Tiger Foundation acts as an influencer and an enabler. India had around 100,000 TIGERS in the mid-19th century.	Wildlife info	32056	Neutral	0
24055	18937	wolf	United States	The carcass of the wolf was sent to the National Wildlife Health Center in Madison, Wis., where they performed a necropsy. The lab determined the WOLF died of pneumonia, but the Park Service doesn’t know how the wolf contracted the illness.	Wildlife info	32055	Victim	-0.631
24053	7249	pangolin	Nigeria	“You know pangolins eat ants. If they stop, ants will be everywhere, ants will over run us.”Traffic, an organisation that tracks illegal animal trade, said Nigeria is presently responsible for ¾ of all PANGOLIN scales supplied to Asia.	Exploitation	32053	Important	-0.542
24052	6538	vulture	United States	She was one of two members of the zoo's roving peafowl to succumb to hail injuries. A peacock, Snoop, also was killed, as was a rare VULTURE named Motswari and a Muscovy duck, Daisy.	Zoo	32052	Victim	-0.837
24051	2616	vulture	United States	INA, Ill. — Black VULTURES  conformation and ticks are among the topics at the Southern Illinois Beef Conference Aug. 14 in the Applied Science Center at Rend Lake College in Ina.	Wildlife info	32051	Interesting	-0.703
24050	2738	vulture	India	At least 37 vultures belonging to three endangered species died in eastern Assam’s Sivasagar district on Friday evening after feeding on pesticide-laced cattle carcass.Forest officials and a wildlife rescue team from the Vulture Conservation Breeding Centre (VCBC) rescued an equal number of VULTURES in a critical condition.	Threats	32050	Victim	-0.78
24048	3917	saola	United States	Catching Hope focuses specifically on snares meant for the saola, a critically endangered cow-like creature.“By helping the local people and the whole habitat, we’re helping all the animals that live in that great biodiverse region and the SAOLA itself,” said Dr. Erin Flynn, mammal curator.	Conservation	32048	Vulnerable	0.886
24045	11700	shark	United Kingdom	A surfer who was killed by a SHARK after entering a banned area of water has been pictured for the first time.	HWI	32045	Dangerous	-0.818
24042	672	saola	United States	“So in this area, if you walk around the forest, every few minutes you’ll be bitten by a leech, which will try and suck your blood,” Long said.Saolas get bitten by leeches, too, so the idea is that if scientists collect enough of the tiny bloodsuckers and analyze the blood in their bellies, they might find clues to where SAOLAS are hiding.	Wildlife info	32042	Important	-0.625
24040	6569	elephant	United Kingdom	I’m not an expert on elephants but I believe that, as practice, they sleep standing.“The government is very much committed to animal welfare.”In response to the Mirror’s visit, the Sri Lankan government later looked into the case and released a further update, which insisted: “The ELEPHANT participated in the pageant only once.”When the custodians of the Vishnu Devale temple had seen Tikiiri was “unwell” they had taken “immediate action” to remove her from the pageant “in consultation with the owner”.	Ecotourism	32040	Interesting	0.471
24039	4950	wolf	United States	Conservationists, meanwhile, say policymakers need to have a greater appreciation for hybrid animals. When the Endangered Species Act was implemented in the 1970s, conventional wisdom was that hybridization between species — such as the WOLF and coyote — was rare and to be avoided.	Conservation	32039	Controversial	0.778
24038	12609	pangolin	United States	“As pangolins face extinction in the midst of a global biodiversity crisis, this is an important step. But to increase the pangolins’ chance of survival, the agency must follow the science and law, and ultimately grant pangolins protection under the Endangered Species Act.”If PANGOLINS are protected as endangered, the law bans import and interstate sale of pangolin parts in the United States, except for scientific or other conservation purposes.	Conservation	32038	Vulnerable	0.934
24037	4712	pangolin	China	As such, doctors care little about pangolin welfare.The medical efficacy of PANGOLIN scales is controversial.	Health	32037	Controversial	0.34
24033	12253	pangolin	Zambia	Chibochi said that the other two men who were jointly charged with Silishebo pleaded guilty and were sentenced to five years.The court heard that the live PANGOLIN that was found in the possession of the trio was disposed of by the Itezhi tezhi Magistrates Court.	Exploitation	32033	Victim	-0.572
24032	6289	pangolin	South Africa	Prof. Jansen travelled to Middelburg to testify for the aggravation of sentence for Senior Mabena, who pleaded guilty to dealing in a protected species without permission.ALSO READ: PANGOLIN rescued from poachers at Kempton Park Engen garageHe said his main aim in testifying in these types of court cases was to educate the judicial system.	Exploitation	32032	Victim	0.494
24030	2251	shark	United States	“This bipartisan legislation is a sensible, non-partisan way for the U.S. to lead in shark conservation,” Whitney Webber, campaign director for responsible fishing at Oceana, said in a statement.“A national fin ban is something that both sides of the aisle can agree is good for our oceans, and good for the tourism jobs and businesses that depend on healthy SHARK populations.”The legislation has historically faced opposition from the shark fishing and seafood industry, who say that they should be allowed to sell and buy fins from sharks that are responsibly caught and used for other purposes.	Conservation	32030	Interesting	0.827
24028	5016	deer	United States	The hunt costs $50 for those drawn.Lake Panasoffkee, in Sumter County, has eight four-day archery hunts for DEER and hog on 8,676 acres.	Exploitation	32028	Valuable	0
24027	2781	tiger	United Kingdom	Serious and fatal incidents have occurred at zoos in China after visitors ignore warning and run risks.A previous report said tourists at Hefei Wildlife Zoo tried to put their hands on an electric fence at the TIGER enclosure in order to see the animals more clearly in 2017.	Zoo	32027	Neutral	-0.691
24026	11975	vulture	Canada	That’s why this shows up in them.”It’s not unusual for many birds to feed off the same carcass, Radcliffe pointed out.“A dead deer could have 10 to 40 eagles feeding off it, in addition to ravens and VULTURES in the spring and summer.”Heading out on another search on Sunday morning, Radcliffe was optimistic that most of the victims had already been located.	Wildlife info	32026	Interesting	-0.822
